Ticker,rank,score,name,sector,index,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rs_3m_chg,pct_from_52w_high,pct_from_52w_low,new_52w_high,pct_vs_50dma,pct_vs_200dma,above_50dma,above_200dma,vol_ratio_20_60,volume_x
ABNB,1,0.8600240798073616,Airbnb,Consumer Discretionary,SP500,189.42999267578125,0.027277651549818094,0.011372074689367961,0.24559436083002284,0.42097364147442184,0.40204271941412384,0.9727095516569201,0.9824561403508771,0.9298245614035088,0.4015594541910331,-0.005616836347605014,0.6983144264024381,False,0.19308768819950606,0.3741408820796912,True,True,2.1195954908684387,1.0386410094381842
DASH,2,0.8588831556014219,DoorDash,Consumer Discretionary,SP500,236.74000549316406,0.020915115426629827,0.0592867675257418,0.19850152865984216,0.4862201988288599,0.3415311602853335,0.9551656920077972,0.9922027290448343,0.9064327485380117,0.2085769980506823,-0.1597216806310534,0.6148703658716068,False,0.19131610682862132,0.25958732912866145,True,True,0.49580528643516486,0.8724772256710189
CRM,3,0.8579142300194931,Salesforce,Information Technology,SP500,256.0,0.01567148145374575,0.22388488904240655,0.41663433395443095,0.3430702605548377,0.32092320296880694,0.9961013645224172,0.9688109161793372,0.8966861598440545,0.635477582846004,-0.033532538547885404,0.7053024801936603,False,0.41521690048433557,0.2825207410324724,True,True,1.6722064423128802,1.6431017937531252
FDS,4,0.8411409242059398,FactSet,Financials,SP500,308.9800109863281,0.014812657232381232,0.03024243010725769,0.17469494894225734,0.2587281926499967,0.43207235032179936,0.9376218323586745,0.9181286549707602,0.935672514619883,0.19883040935672514,-0.16520435747580908,0.6420593240584518,False,0.17196453850154492,0.24834656983191894,True,True,0.5772160768880346,1.0818307025393985
IQV,5,0.8404380231624814,IQVIA,Health Care,SP500,261.75,-0.0024011162096512217,0.007428191137616613,0.10076120690678558,0.436529226471289,0.4638443239966372,0.8070175438596491,0.9844054580896686,0.9454191033138402,0.003898635477582846,-0.0024011162096512217,0.6708157403376103,False,0.18303373652155996,0.30371635307053535,True,True,0.5661469007449701,0.8722793114558555
TGT,6,0.836847838550625,Target Corporation,Consumer Staples,SP500,163.17999267578125,-0.016573254513265523,-0.013660600412680912,0.1378623475802283,0.2940307665798627,0.4587050201721461,0.8830409356725146,0.9454191033138402,0.9415204678362573,0.21442495126705652,-0.039496184224932285,1.0037544994316163,False,0.13767659646331354,0.3724838653457567,True,True,0.9476791409191433,1.1897246357503497
J,7,0.8357929136566907,Jacobs Solutions,Industrials,SP500,151.97999572753906,0.009029349717435853,0.012659873889282025,0.1476515062740149,0.2710723414790397,0.10861144542675683,0.9064327485380117,0.9317738791423001,0.6374269005847953,0.4307992202729044,-0.0659258152643073,0.4247524711402886,False,0.12095924036710404,0.15016435343321266,True,True,0.5654290989904275,0.806411259734879
EXPE,8,0.833461758972595,Expedia Group,Consumer Discretionary,SP500,329.44000244140625,0.03298629302251577,0.02575911955918664,0.12625852733352927,0.4611582834734427,0.5361519933949572,0.8596491228070176,0.9883040935672515,0.9532163742690059,0.19688109161793377,-0.027172700864182442,0.7576395626631949,False,0.1420645534911198,0.2835321135746567,True,True,0.9276357229737304,0.8070289125031008
ANET,9,0.8312899896800826,Arista Networks,Information Technology,SP500,195.3800048828125,-0.02839520393388273,0.03567458894284936,0.14243948077291813,0.22518344131954127,0.46352063582631087,0.8927875243664717,0.884990253411306,0.9434697855750487,0.4951267056530214,-0.07182895542606893,0.6824249505186484,False,0.08256724312348385,0.2986081084113672,True,True,0.7553433651872319,0.6417979071885158
ADP,10,0.8211799105607155,Automatic Data Processing,Industrials,SP500,287.4800109863281,0.009835669462503471,0.02375276338351373,0.08947594006910542,0.3057208126337494,0.3624482500004882,0.7875243664717348,0.9512670565302144,0.9161793372319688,0.07212475633528259,-0.028222180476995318,0.5343032847429243,False,0.12494095389867921,0.22826373288333346,True,True,0.6040501928448545,0.737576094008746
